"Mass","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12"
"Class","Exos","Exos","Exos","Exos","Exos","Cell","Cell","Cell","Cell","Cell"
352.08,29.82423,0,155.71142,101.71327,144.01426,0,0,0,0,0
353.1,0,0,0,0,20.67408,0,0,0,0,0
356.31,0,36.64627,0,0,38.95314,0,0,0,0,0
358.135,0,17.41819,0,0,33.00783,0,0,0,0,0
361.23333,0,48.48007,16.18572,0,24.42314,0,0,0,0,0
363.16,65.93687,58.0821,247.55763,135.75398,134.52732,0,0,0,0,0
363.96143,0,22.84106,82.21035,22.70567,60.45585,0,0,56.73898,41.22029,34.30087
365.2,0,23.07932,78.36322,31.47884,73.78236,0,0,0,0,0
366.25,0,0,0,0,22.11276,0,0,0,0,0
367.44,0,41.2512,46.82153,35.22581,0,17.86461,0,0,0,0
368.56857,36.18184,90.33167,0,50.3613,27.05269,0,13.82008,42.50812,77.5334,0
369.59,43.46249,0,31.43501,0,0,0,0,0,0,0
371.07,78.62764,37.82627,27.19843,26.49991,136.18802,0,14.07087,0,0,0
372.72667,14.44542,0,27.47534,0,24.83535,0,0,0,0,0
379.14,11.47802,0,52.62187,0,71.33427,0,0,0,0,0
380.19,0,45.64379,0,0,38.90392,0,0,0,0,0
383.28,12.06893,17.99838,24.37007,35.92582,25.00047,0,0,0,0,0
385.645,9.48317,140.25801,0,0,0,0,34.28055,0,51.91112,0
386.48,0,204.63393,0,0,0,30.15895,0,55.74478,124.17102,0
387.2075,116.0654,42.00779,106.15893,84.80196,0,0,0,0,0,0
388.11,198.51137,0,201.23191,351.21628,1182.46703,0,0,0,0,0
389.14,9.12219,0,37.44351,64.58189,0,0,0,0,0,0
390.22,0,15.10857,0,0,0,0,0,0,0,0
391.3,0,0,0,0,40.33864,0,0,0,0,0
392.35,20.45061,0,40.1838,41.85742,116.02119,0,0,0,0,0
393.5275,0,23.83553,0,0,31.61879,11.8995,0,0,0,29.88951
395.11167,89.59945,242.64157,169.98572,131.94668,230.22325,11.64467,0,0,0,0
396.25,0,51.60516,0,0,0,0,0,0,0,0
397.285,96.30609,63.37514,431.48613,0,408.77225,10.85138,19.10729,0,0,0
398.02,0,0,0,67.63301,0,0,0,0,0,0
399.04,77.36836,0,96.31203,77.88428,110.43726,0,0,0,0,0
401.41,8.5543,0,30.98825,35.11174,14.15988,0,0,0,0,0
411.17,0,0,12.67942,26.69238,85.9904,0,0,0,0,0
412.19,25.59892,0,45.37671,77.01038,52.03317,0,0,0,0,0
413.28,0,0,0,17.33908,32.82512,0,0,0,0,0
414.38,0,0,0,0,36.96153,0,0,0,0,0
415.47,0,0,23.87065,0,0,0,0,0,0,0
416.86333,12.92688,43.21229,0,41.97299,0,0,0,0,0,0
418.08,0,0,21.81912,0,50.32728,0,0,0,0,0
418.7,0,483.5678,0,0,0,0,0,0,0,0
419.3,0,0,0,0,195.52831,0,0,0,0,0
420.024,54.94403,63.42003,485.74647,392.91516,816.46127,0,0,0,0,0
421.36,0,0,57.29655,33.72829,0,0,0,0,0,0
423.04,0,0,0,0,22.08555,0,0,0,0,0
425.12,0,283.15421,0,0,0,15.02152,22.27503,0,40.6555,0
426.16,0,53.92029,0,0,16.0037,0,0,0,0,0
427.23,90.02452,188.88224,336.94781,262.69449,642.92456,15.14651,39.86176,30.70144,51.64147,56.67213
428.26,0,57.16346,69.7494,78.13865,0,0,11.56368,0,0,0
429.29,88.26055,73.72543,35.20497,163.26154,210.45707,14.69439,24.67135,0,0,0
430.814,53.55005,34.54909,92.40804,111.4252,213.16247,0,0,0,0,0
431.96,48.5831,0,0,56.53052,0,0,0,0,0,0
433.03,0,0,0,0,43.7375,0,0,0,0,0
435.475,0,40.56745,28.01804,12.16732,39.45002,0,0,0,0,0
437.38,0,0,33.24278,0,0,0,0,0,0,0
439.63,0,0,0,0,0,10.6629,0,0,0,0
441.26,13.90525,0,0,0,0,0,0,0,0,0
442.555,0,119.16591,26.81476,0,0,0,0,0,0,0
443.4,0,38.67285,0,0,0,0,0,0,0,0
444.43,64.19896,0,95.74756,145.61327,323.45316,0,0,0,0,0
445.49,0,0,0,26.00844,101.98943,0,0,0,0,0
447.85,0,21.8994,14.05716,0,0,0,0,0,0,0
450.27,7.72535,75.06668,26.50221,0,0,0,0,0,0,0
451.84,19.29572,0,0,0,50.51744,0,0,0,0,0
452.73,16.90028,0,0,17.56072,0,0,0,0,0,0
454.07,34.11346,0,12.35359,0,0,0,0,0,0,0
456.685,7.95018,54.05502,0,0,0,0,0,0,0,0
459.0125,0,22.17409,32.40482,28.52367,24.45679,0,0,0,0,0
460.84,0,0,22.4126,13.40675,21.50638,0,0,0,0,0
464.49,27.83066,0,0,0,43.39115,0,0,0,0,0
469.098,10.09331,13.91832,19.89176,15.35209,31.16215,0,0,0,0,0
471.25,0,0,0,0,20.2618,0,0,0,0,0
473.64667,0,28.97785,15.10504,0,13.54864,0,0,0,0,0
477.47,7.98233,13.97914,0,0,0,0,0,0,0,0
479.7075,8.74716,23.82582,39.39742,0,59.54512,0,0,0,0,0
481.67286,0,34.84968,0,0,30.9299,22.93768,52.86144,79.62328,71.14664,89.29189
483.4775,0,48.32576,22.20536,14.94905,0,0,0,29.20771,0,0
486.34333,12.75994,60.23061,0,0,68.41971,0,0,0,0,0
488.09,71.12657,19.6975,131.16955,0,0,0,0,0,0,0
488.92333,23.70992,0,0,63.56562,160.49277,0,0,0,0,0
490.68,0,16.6322,21.80896,0,0,0,0,0,0,0
493.34778,7.86139,18.21384,13.99192,13.54556,0,21.59727,22.23172,30.74088,65.5895,30.63677
495.73,0,41.66352,0,15.82082,0,64.09766,53.88401,129.38219,148.35561,113.00314
497.342,35.39894,0,41.17439,60.56419,47.96201,0,0,25.50334,0,0
503.04,20.94616,0,35.83506,47.7196,69.61255,0,0,0,0,0
504.13,13.6491,0,16.47605,0,21.72076,0,0,0,0,0
505.48333,0,0,41.945,20.17192,48.05025,0,0,0,0,0
507.52,0,17.34682,0,0,18.10595,0,11.50257,0,63.06122,0
510.28,10.18044,17.02793,0,22.18308,0,13.66863,12.85403,27.11788,0,0
513.5,0,0,19.155,16.77985,0,0,0,0,0,0
520.34,11.03165,0,34.18229,33.14883,41.17977,0,0,0,0,0
521.76,0,39.98567,0,0,0,71.97858,69.13569,159.39416,159.86686,66.46277
522.67,0,0,0,0,0,0,0,0,107.41246,0
523.72,19.20025,36.32432,0,18.69633,16.71572,17.34145,23.53923,33.83007,90.93683,33.36628
525.16333,26.60994,13.09333,0,44.11457,0,0,0,0,0,0
527.395,0,555.37725,0,22.75681,0,16.52022,24.81973,0,0,0
528.33,0,198.11617,0,0,0,0,0,0,0,0
529.068,276.49522,61.653,999.2228,420.8072,1245.26758,0,0,0,0,0
529.95,85.5959,0,0,0,0,0,0,0,0,0
530.5875,21.12218,50.76535,220.1088,129.05163,0,0,0,0,0,0
531.49,0,0,0,53.25135,0,0,0,0,0,0
532.51,144.03828,0,54.2099,56.42275,75.71061,0,0,0,0,0
533.54,46.0056,0,0,0,0,0,0,0,0,0
534.65,19.66924,0,0,0,0,0,0,0,0,0
536.25,0,64.66532,25.29868,0,29.11547,0,12.3797,0,0,0
538.02,49.51363,0,94.15189,45.40715,108.68359,0,0,0,0,0
538.88,21.09459,43.05097,24.25795,0,0,0,0,0,0,0
540.1,17.58172,0,64.44058,27.11185,34.44561,0,0,0,0,0
543.28,0,0,0,0,15.56415,0,0,0,0,0
546.53,0,31.56259,0,0,0,0,0,0,0,0
547.58,0,17.51073,0,0,0,0,0,0,0,0
549.211,17.46002,37.51979,16.77234,25.29895,51.00846,56.60261,23.18659,64.61796,105.77574,69.051
550.35,10.21526,25.70012,0,0,0,0,0,0,0,0
551.416,14.37802,0,15.63356,16.05901,15.64522,13.06466,0,0,0,0
559.19,0,56.04216,0,0,0,0,0,0,0,0
560.94,26.22321,0,91.39649,62.29171,37.11504,0,0,0,0,0
562.07,0,0,30.04988,24.59864,0,0,0,0,0,0
563.1,0,0,29.11182,0,0,0,0,0,0,0
566.38,9.14429,0,29.86582,0,48.86584,0,0,0,0,0
568.52,0,325.26662,0,0,0,25.1114,95.88932,0,67.74332,90.22827
